tracker,seq,week,code,total_sold,total_units,teduh_name,note,block_note
johor,,2026-06-19,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-06-26,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-07-03,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-07-10,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-07-17,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-07-24,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-07-31,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-08-07,NOCODE-The Eclipse,0,,,seeded from your report,"*No info on Teduh, Not obtained AP."
johor,,2026-06-19,13531-2,684,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-06-26,13531-2,682,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-07-03,13531-2,685,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-07-10,13531-2,692,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-07-17,13531-2,698,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-07-24,13531-2,700,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-07-31,13531-2,707,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-08-07,13531-2,710,,,seeded from your report,"Latest sale - Block A: 432 units, Block B: 278 units"
johor,,2026-06-19,31034-1,358,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-06-26,31034-1,365,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-07-03,31034-1,365,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-07-10,31034-1,370,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-07-17,31034-1,370,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-07-24,31034-1,373,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-07-31,31034-1,380,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-08-07,31034-1,382,,,seeded from your report,"Latest sale - Block A: 293 units, Block B: 89 units"
johor,,2026-06-19,31149-1,249,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-06-26,31149-1,251,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-07-03,31149-1,251,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-07-10,31149-1,266,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-07-17,31149-1,270,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-07-24,31149-1,275,,,seeded from your report,"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-07-31,31149-1,281,,,seeded from your report (Calia corrected),"Latest sale - Block A: 207 units, Block B: 77 units"
johor,,2026-08-07,31149-1,284,,,seeded from your report (Calia corrected),"Latest sale - Block A: 207 units, Block B: 77 units"
seputeh,,2026-08-14,32-16,43,146,RESIDENSI EDEN,,"Latest sales - Block A: 2, Block B: 6, Block C: 3, Block D: 8, Block E: 2, Block F: 2, Block G: 6, Block H: 5"
seputeh,,2026-08-14,30216-1,33,154,PAVILION DAMANSARA HEIGHTS PHASE 2,,"Latest sales - Block RA/N: 28, Block RA/S: 2"
seputeh,,2026-08-14,30216-2,45,490,PAVILION DAMANSARA HEIGHTS PHASE 2,,"Latest sales - Block RC/N: 8, Block RC/S: 27"
seputeh,,2026-08-14,31078-1,45,48,VILA BATAI,,
seputeh,,2026-08-14,31274-1,1,244,AOSIS MONT KIARA,,
seputeh,,2026-08-14,2463-23,306,433,PARKCITY RESIDENCES,,
status13,,2026-08-14,31202-1,177,1310,RESIDENSI WARISAN SALAK SELATAN,,"Latest sales - Block A: 91, Block B: 75"
status13,,2026-08-14,13262-2,334,1544,RESIDENSI M AURORA,,"Latest sales - Block A: 36, Block B: 253"
status13,,2026-08-14,30590-2,119,996,ARTE STAR,,Latest sales - Block B: 105
status13,,2026-08-14,5911-33,996,1618,RESIDENSI M ASPIRA,,"Latest sales - Block A: 394, Block B: 434"
status13,,2026-08-14,30363-2,1125,1218,RESIDENSI DESA TIMUR,,"Latest sales - Block A: 125, Block B: 471, Block C: 290"
status13,,2026-08-14,30821-1,499,988,RESIDENSI RADIUM,,"Latest sales - Block A: 203, Block B: 207"
status13,,2026-08-14,30366-1,467,482,RESIDENSI AMBIEN,,Latest sales - Block A: 386
status13,,2026-08-14,13074-4,236,299,RESIDENSI HANA,,
status13,,2026-08-14,8824-5,618,1296,RESIDENSI SUNWAY COCHRANE,,"Latest sales - Block A: 147, Block B: 378"
status13,,2026-08-14,20253-3,1142,1500,RESIDENSI PLATINUM SAUJANA VIOLET 2 (PSV2),,"Latest sales - Block W: 481, Block X: 461"
status13,,2026-08-14,30876-1,125,551,RESIDENSI VERIDIAN,,Latest sales - Block A: 105
status13,,2026-08-14,30250-2,659,661,RESIDENSI AURUM,,"Latest sales - Block A: 263, Block B: 259"
johor,,2026-08-14,835-14,297,715,RESIDENSI DWI PESONA,,"Latest sales - Block A: 188, Block B: 109"
